y,u_centerline,v_centerline
7.81250000e-03,-2.39989273e-03,-4.26080192e-05
2.34375000e-02,-5.31711345e-03,-8.84963084e-05
3.90625000e-02,-1.05519978e-02,-9.74069093e-05
5.46875000e-02,-1.58592802e-02,-1.11120007e-04
7.03125000e-02,-1.99009074e-02,-1.29456117e-04
8.59375000e-02,-2.26776277e-02,-1.51521766e-04
1.01562500e-01,-2.46049100e-02,-1.76208064e-04
1.17187500e-01,-2.60436985e-02,-2.02467486e-04
1.32812500e-01,-2.72270702e-02,-2.29459073e-04
1.48437500e-01,-2.82994582e-02,-2.56508009e-04
1.64062500e-01,-2.93519005e-02,-2.83117368e-04
1.79687500e-01,-3.04409898e-02,-3.08892847e-04
1.95312500e-01,-3.16000469e-02,-3.33543362e-04
2.10937500e-01,-3.28477348e-02,-3.56806706e-04
2.26562500e-01,-3.41942637e-02,-3.78455553e-04
2.42187500e-01,-3.56457065e-02,-3.98239114e-04
2.57812500e-01,-3.72062074e-02,-4.15902079e-04
2.73437500e-01,-3.88793251e-02,-4.31141288e-04
2.89062500e-01,-4.06683732e-02,-4.43630301e-04
3.04687500e-01,-4.25768026e-02,-4.52983359e-04
3.20312500e-01,-4.46080698e-02,-4.58778935e-04
3.35937500e-01,-4.67658379e-02,-4.60527219e-04
3.51562500e-01,-4.90537514e-02,-4.57690083e-04
3.67187500e-01,-5.14756147e-02,-4.49651035e-04
3.82812500e-01,-5.40351341e-02,-4.35730367e-04
3.98437500e-01,-5.67360903e-02,-4.15156672e-04
4.14062500e-01,-5.95820536e-02,-3.87075223e-04
4.29687500e-01,-6.25765451e-02,-3.50518815e-04
4.45312500e-01,-6.57227207e-02,-3.04406149e-04
4.60937500e-01,-6.90235109e-02,-2.47509052e-04
4.76562500e-01,-7.24812669e-02,-1.78435982e-04
4.92187500e-01,-7.60978676e-02,-9.55819254e-05
5.07812500e-01,-7.98743071e-02,4.04857243e-05
5.23437500e-01,-8.03260523e-02,2.22872274e-04
5.39062500e-01,-8.09369340e-02,3.34560765e-04
5.54687500e-01,-8.17050403e-02,4.51752158e-04
5.70312500e-01,-8.26271815e-02,5.76124743e-04
5.85937500e-01,-8.36991143e-02,7.09142313e-04
6.01562500e-01,-8.49152502e-02,8.52073620e-04
6.17187500e-01,-8.62688212e-02,1.00597222e-03
6.32812500e-01,-8.77515656e-02,1.17166212e-03
6.48437500e-01,-8.93538623e-02,1.34968610e-03
6.64062500e-01,-9.10643949e-02,1.54027287e-03
6.79687500e-01,-9.28702077e-02,1.74326106e-03
6.95312500e-01,-9.47561694e-02,1.95805319e-03
7.10937500e-01,-9.67044136e-02,2.18351816e-03
7.26562500e-01,-9.86922129e-02,2.41792484e-03
7.42187500e-01,-1.00687494e-01,2.65879405e-03
7.57812500e-01,-1.02637888e-01,2.90274000e-03
7.73437500e-01,-1.04447838e-01,3.14513215e-03
7.89062500e-01,-1.05932527e-01,3.37961927e-03
8.04687500e-01,-1.06734123e-01,3.59731701e-03
8.20312500e-01,-1.06181991e-01,3.78579436e-03
8.35937500e-01,-1.03085007e-01,3.92791126e-03
8.51562500e-01,-9.54628800e-02,4.00116361e-03
8.67187500e-01,-8.02641638e-02,3.97826142e-03
8.82812500e-01,-5.31718029e-02,3.83017893e-03
8.98437500e-01,-8.64545296e-03,3.53234811e-03
9.14062500e-01,5.96432307e-02,3.07412091e-03
9.29687500e-01,1.57875910e-01,2.46991254e-03
9.45312500e-01,2.90637272e-01,1.76928452e-03
9.60937500e-01,4.59058643e-01,1.06143409e-03
9.76562500e-01,6.59066966e-01,4.68292860e-04
9.92187500e-01,8.81566196e-01,1.08612415e-04
